recording,model,rows,log_loss_nats_per_row,binary_brier_score
datatraining.txt,constant,8143,0.5170269303852334,0.16724575070146
datatraining.txt,light,8143,0.052882540010084404,0.011546637244820206
datatraining.txt,co2,8143,0.3059815325178903,0.08438539495005636
datatraining.txt,joint,8143,0.048245580479750985,0.011360925169473101
datatraining.txt,or,8143,0.19014818746854573,0.050374728754283914
datatest.txt,constant,2665,0.716747644380514,0.25490520489179164
datatest.txt,light,2665,0.0977729357742339,0.024603060389190846
datatest.txt,co2,2665,0.38953629465758083,0.11275264458790704
datatest.txt,joint,2665,0.08974404392437282,0.022241142792912526
datatest.txt,or,2665,0.2224311765551816,0.061581351034960666
datatest2.txt,constant,9752,0.514119073047541,0.16596946251889572
datatest2.txt,light,9752,0.04744305077272907,0.011556000266268865
datatest2.txt,co2,9752,0.5065597371399897,0.16431099649635308
datatest2.txt,joint,9752,0.05076201919167954,0.011683151859365975
datatest2.txt,or,9752,0.21867695366675108,0.06128035888954198
